sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
3;2018-03-05;10:20:53.657000;type1;training;train;9;5;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 3 - 4 - 1;0.6;2917.562;797.394;1.254
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;10;6;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;804.154;1526.464;0.655
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;11;6;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 3 4 - 4 - 1 4;0.8;1134.157;1959.117;0.51
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;12;7;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1065.388;1463.372;0.683
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;13;8;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1109.562;1425.659;0.701
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;14;9;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1158.251;1416.256;0.706
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;15;10;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1292.041;1472.407;0.679
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;16;11;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1111.521;1442.625;0.693
;;;;;;;;;;;;;;
4;2018-03-05;21:03:55.938000;type1;training;train;1;2;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;2069.16;1794.307;0.557
;;;;;;;;;;;;;;
